#   WAVELENGTH        FLUX
#------------- -----------
     3621.800      1.3161
     3621.900      1.3161
     3622.000      1.3160
     3622.100      1.3159
     3622.200      1.3158
     3622.300      1.3158
     3622.400      1.3157
     3622.500      1.3156
     3622.600      1.3155
     3622.700      1.3155
     3622.800      1.3154
     3622.900      1.3153
     3623.000      1.3153
     3623.100      1.3152
     3623.200      1.3151
     3623.300      1.3150
     3623.400      1.3150
     3623.500      1.3149
     3623.600      1.3148
     3623.700      1.3147
     3623.800      1.3147
     3623.900      1.3146
     3624.000      1.3145
     3624.100      1.3145
     3624.200      1.3144
     3624.300      1.3143
     3624.400      1.3142
     3624.500      1.3142
     3624.600      1.3141
     3624.700      1.3140
     3624.800      1.3140
     3624.900      1.3139
     3625.000      1.3138
     3625.100      1.3137
     3625.200      1.3137
     3625.300      1.3136
     3625.400      1.3135
     3625.500      1.3134
     3625.600      1.3134
     3625.700      1.3133
     3625.800      1.3132
     3625.900      1.3132
