# ------------- -------------
WAVELENGTH FLUX WAVE
3031.3999999999533 22.03476 ""
3031.499999999953 22.03476 ""
3031.599999999953 22.03476 ""
3031.699999999953 22.03476 ""
3031.799999999953 22.03476 ""
3031.899999999953 22.03476 ""
3031.9999999999527 22.03476 ""
3032.0999999999526 22.03476 ""
3032.1999999999525 22.03476 ""
3032.2999999999524 22.03476 ""
3032.3999999999523 22.03476 ""
3032.4999999999523 22.03476 ""
3032.599999999952 22.03476 ""
3032.699999999952 22.03476 ""
3032.799999999952 22.03476 ""
3032.899999999952 22.03476 ""
3032.999999999952 22.03476 ""
3033.0999999999517 22.03476 ""
3033.1999999999516 22.03476 ""
3033.2999999999515 22.03476 ""
3033.3999999999514 22.03476 ""
3033.4999999999513 22.03476 ""
3033.5999999999513 22.03476 ""
3033.699999999951 22.03476 ""
3033.799999999951 22.03476 ""
3033.899999999951 22.03476 ""
3033.999999999951 22.03476 ""
3034.099999999951 22.03476 ""
3034.1999999999507 22.03476 ""
3034.2999999999506 22.03476 ""
3034.3999999999505 22.03476 ""
3034.4999999999504 22.03476 ""
3034.5999999999503 22.03476 ""
3034.6999999999503 22.03476 ""
3034.79999999995 22.03476 ""
3034.89999999995 22.03476 ""
3034.99999999995 22.03476 ""
3035.09999999995 22.03476 ""
3035.19999999995 22.03476 ""
3035.2999999999497 22.03476 ""
3035.3999999999496 22.03476 ""
3035.4999999999495 22.03476 ""
3035.5999999999494 22.03476 ""
3035.6999999999493 22.03476 ""
3035.7999999999493 22.03476 ""
3035.899999999949 22.03476 ""
3035.999999999949 22.03476 ""
3036.099999999949 22.03476 ""
3036.199999999949 22.03476 ""
3036.299999999949 22.03476 ""
3036.3999999999487 22.03476 ""
3036.4999999999486 22.03476 ""
3036.5999999999485 22.03476 ""
3036.6999999999484 22.03476 ""
3036.7999999999483 22.03476 ""
3036.8999999999482 22.03476 ""
3036.999999999948 22.03476 ""
3037.099999999948 22.03476 ""
3037.199999999948 22.03476 ""
3037.299999999948 22.03476 ""
3037.399999999948 22.03476 ""
3037.4999999999477 22.03476 ""
3037.5999999999476 22.03476 ""
3037.6999999999475 22.03476 ""
3037.7999999999474 22.03476 ""
3037.8999999999473 22.03476 ""
3037.9999999999472 22.03476 ""
3038.099999999947 22.03476 ""
3038.199999999947 22.03476 ""
3038.299999999947 22.03476 ""
3038.399999999947 22.03476 ""
3038.499999999947 22.03476 ""
3038.5999999999467 22.03476 ""
3038.6999999999466 22.03476 ""
3038.7999999999465 22.03476 ""
3038.8999999999464 22.03476 ""
3038.9999999999463 22.03476 ""
3039.0999999999462 22.03476 ""
3039.199999999946 22.03476 ""
3039.299999999946 22.03476 ""
3039.399999999946 22.03476 ""
3039.499999999946 22.03476 ""
3039.599999999946 22.03476 ""
3039.6999999999457 22.03476 ""
3039.7999999999456 22.03476 ""
3039.8999999999455 22.03476 ""
3039.9999999999454 22.03476 ""
3040.0999999999453 22.03476 ""
3040.1999999999452 22.03476 ""
3040.299999999945 22.03476 ""
3040.399999999945 22.03476 ""
3040.499999999945 22.03476 ""
